RECTYPE,CNTBTCH,CNTITEM,IDCUST,IDINVC,TEXTTRX,INVCDESC,DATEINVC,SWMANRTE,DATEDUE,SWTAXBL,SWMANTX,CODETAXGRP,TAXSTTS1,AMTTAX1,FISCYR,FISCPER,
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,TEXTDESC,AMTEXTN,SWMANLTX,TAXSTTS1,IDACCTREV,COMMENT,ITEMTAX,,,,,,,
RECTYPE,CNTBTCH,CNTITEM,CNTPAYM,DATEDUE,AMTDUE,,,,,,,,,,,,
1,,1,300034512,60406,1,AP-MONTH=08,20190813,0,20191111,1,0,SST,1,213.78,2019,08,
2,,1,1,"Rightchoice 3 Month Program /TS# /Job#",3563.00,0,1,3204-600, /Batch # /Timesheet #,213.78,,,,,,,
3,,1,1,20191111,3776.78,,,,,,,,,,,,
1,,2,300034232,60407,1,AP-MONTH=08,20190813,0,20190912,1,0,SST,1,540.00,2019,08,
2,,2,1,"Job Search Essential Workshop /TS# /Job#",9000.00,0,1,3204-600, /Batch # /Timesheet #,540.00,,,,,,,
3,,2,1,20190912,9540.00,,,,,,,,,,,,
1,,3,300034355,60408,1,AP-MONTH=08,20190813,0,20190912,1,0,SST,1,1944.00,2019,08,
2,,3,1,"Sales Force Excellence Training /TS# /Job#",32400.00,0,1,3204-610, /Batch # /Timesheet #,1944.00,,,,,,,
3,,3,1,20190912,34344.00,,,,,,,,,,,,
