RECTYPE,CNTBTCH,CNTITEM,IDCUST,IDINVC,TEXTTRX,INVCDESC,DATEINVC,SWMANRTE,DATEDUE,SWTAXBL,SWMANTX,CODETAXGRP,TAXSTTS1,AMTTAX1,FISCYR,FISCPER,
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,TEXTDESC,AMTEXTN,SWMANLTX,TAXSTTS1,IDACCTREV,COMMENT,ITEMTAX,,,,,,,
RECTYPE,CNTBTCH,CNTITEM,CNTPAYM,DATEDUE,AMTDUE,,,,,,,,,,,,
1,NO0720022,1,300034275,524401,1,AP-MONTH=07,20200728,0,20200911,1,0,SST,1,43.83,2020,07,
2,NO0720022,1,1,"+Med Benefit Reimburse /TS# /Job#200164604",65.00,0,1,3102-324, /Batch #NO0720022 /Timesheet #,3.90,,,,,,,
2,NO0720022,1,2,"Admin Fee /TS# /Job#200164604",665.54,0,1,3102-324, /Batch #NO0720022 /Timesheet #,39.93,,,,,,,
2,NO0720022,1,3,"EIS /TS# /Job#200164604",6.30,0,2,3102-324, /Batch #NO0720022 /Timesheet #,0.00,,,,,,,
2,NO0720022,1,4,"EPF /TS# /Job#200164604",411.00,0,2,3102-324, /Batch #NO0720022 /Timesheet #,0.00,,,,,,,
2,NO0720022,1,5,"Normal /TS# /Job#200164604",3160.00,0,2,3102-324, /Batch #NO0720022 /Timesheet #,0.00,,,,,,,
2,NO0720022,1,6,"SOCSO /TS# /Job#200164604",55.15,0,2,3102-324, /Batch #NO0720022 /Timesheet #,0.00,,,,,,,
3,NO0720022,1,1,20200911,4406.82,,,,,,,,,,,,
1,NO0720022,2,300034286,524402,1,AP-MONTH=07,20200728,0,20200911,1,0,SST,1,32.00,2020,07,
2,NO0720022,2,1,"+Med Benefit Reimburse /TS# /Job#200161338",65.00,0,1,3102-324, /Batch #NO0720022 /Timesheet #,3.90,,,,,,,
2,NO0720022,2,2,"Admin Fee /TS# /Job#200161338",468.33,0,1,3102-324, /Batch #NO0720022 /Timesheet #,28.10,,,,,,,
2,NO0720022,2,3,"EIS /TS# /Job#200161338",4.50,0,2,3102-324, /Batch #NO0720022 /Timesheet #,0.00,,,,,,,
2,NO0720022,2,4,"EPF /TS# /Job#200161338",289.00,0,2,3102-324, /Batch #NO0720022 /Timesheet #,0.00,,,,,,,
2,NO0720022,2,5,"Normal /TS# /Job#200161338",2204.00,0,2,3102-324, /Batch #NO0720022 /Timesheet #,0.00,,,,,,,
2,NO0720022,2,6,"SOCSO /TS# /Job#200161338",39.35,0,2,3102-324, /Batch #NO0720022 /Timesheet #,0.00,,,,,,,
3,NO0720022,2,1,20200911,3102.18,,,,,,,,,,,,
1,NO0720022,3,300034284,524403,1,AP-MONTH=07,20200728,0,20200911,1,0,SST,1,48.31,2020,07,
2,NO0720022,3,1,"+Med Benefit Reimburse /TS# /Job#200163998",65.00,0,1,3102-324, /Batch #NO0720022 /Timesheet #,3.90,,,,,,,
2,NO0720022,3,2,"Admin Fee /TS# /Job#200163998",740.21,0,1,3102-324, /Batch #NO0720022 /Timesheet #,44.41,,,,,,,
2,NO0720022,3,3,"EIS /TS# /Job#200163998",7.10,0,2,3102-324, /Batch #NO0720022 /Timesheet #,0.00,,,,,,,
2,NO0720022,3,4,"EPF /TS# /Job#200163998",458.00,0,2,3102-324, /Batch #NO0720022 /Timesheet #,0.00,,,,,,,
2,NO0720022,3,5,"Normal /TS# /Job#200163998",3520.00,0,2,3102-324, /Batch #NO0720022 /Timesheet #,0.00,,,,,,,
2,NO0720022,3,6,"SOCSO /TS# /Job#200163998",62.15,0,2,3102-324, /Batch #NO0720022 /Timesheet #,0.00,,,,,,,
3,NO0720022,3,1,20200911,4900.77,,,,,,,,,,,,
1,NO0720022,4,300034279,524404,1,AP-MONTH=07,20200728,0,20200911,1,0,SST,1,21.33,2020,07,
2,NO0720022,4,1,"+Med Benefit Reimburse /TS# /Job#200160196",65.00,0,1,3102-324, /Batch #NO0720022 /Timesheet #,3.90,,,,,,,
2,NO0720022,4,2,"Admin Fee /TS# /Job#200160196",290.42,0,1,3102-324, /Batch #NO0720022 /Timesheet #,17.43,,,,,,,
2,NO0720022,4,3,"EIS /TS# /Job#200160196",3.30,0,2,3102-324, /Batch #NO0720022 /Timesheet #,0.00,,,,,,,
2,NO0720022,4,4,"EPF /TS# /Job#200160196",214.00,0,2,3102-324, /Batch #NO0720022 /Timesheet #,0.00,,,,,,,
2,NO0720022,4,5,"Normal /TS# /Job#200160196",1625.00,0,2,3102-324, /Batch #NO0720022 /Timesheet #,0.00,,,,,,,
2,NO0720022,4,6,"SOCSO /TS# /Job#200160196",28.85,0,2,3102-324, /Batch #NO0720022 /Timesheet #,0.00,,,,,,,
3,NO0720022,4,1,20200911,2247.90,,,,,,,,,,,,
1,NO0720022,5,300034283,524405,1,AP-MONTH=07,20200728,0,20200911,1,0,SST,1,35.14,2020,07,
2,NO0720022,5,1,"+Med Benefit Reimburse /TS# /Job#200163605",65.00,0,1,3102-324, /Batch #NO0720022 /Timesheet #,3.90,,,,,,,
2,NO0720022,5,2,"Admin Fee /TS# /Job#200163605",520.70,0,1,3102-324, /Batch #NO0720022 /Timesheet #,31.24,,,,,,,
2,NO0720022,5,3,"EIS /TS# /Job#200163605",4.90,0,2,3102-324, /Batch #NO0720022 /Timesheet #,0.00,,,,,,,
2,NO0720022,5,4,"EPF /TS# /Job#200163605",320.00,0,2,3102-324, /Batch #NO0720022 /Timesheet #,0.00,,,,,,,
2,NO0720022,5,5,"Normal /TS# /Job#200163605",2460.00,0,2,3102-324, /Batch #NO0720022 /Timesheet #,0.00,,,,,,,
2,NO0720022,5,6,"SOCSO /TS# /Job#200163605",42.85,0,2,3102-324, /Batch #NO0720022 /Timesheet #,0.00,,,,,,,
3,NO0720022,5,1,20200911,3448.59,,,,,,,,,,,,
1,NO0720022,6,300034286,524406,1,AP-MONTH=07,20200728,0,20200911,1,0,SST,1,18.27,2020,07,
2,NO0720022,6,1,"+Med Benefit Reimburse /TS# /Job#200164385",65.00,0,1,3102-324, /Batch #NO0720022 /Timesheet #,3.90,,,,,,,
