RECTYPE,CNTBTCH,CNTITEM,IDCUST,IDINVC,IDSHPT,SPECINST,TEXTTRX,ORDRNBR,CUSTPO,INVCDESC,DATEINVC,FISCYR,FISCPER,SWMANRTE,DATEDUE,SWTAXBL,SWMANTX,CODETAXGRP,TAXSTTS1,AMTTAX1,AMTDUE,IDSHIPNBR
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,IDDIST,TEXTDESC,AMTEXTN,TAXSTTS1,AMTTAX1,IDACCTREV
RECTYPE,CNTBTCH,CNTITEM,CNTPAYM,DATEDUE,AMTDUE
RECTYPE,CNTBTCH,CNTITEM,OPTFIELD,VALUE
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,OPTFIELD,VALUE
1,FA0125001,1,300034133,20005621,,,1,,22815A2473258,AP-MONTH=01,20250106,2025,01,0,20250205,1,0,SST,1,6698.42,90428.62,
2,FA0125001,1,1,S,Richard Castillo Abenir (IT-Infrastructure - Monit),0.00,2,0.00,9999
5,FA0125001,1,1,FV,0.00
5,FA0125001,1,1,PERIOD,1 Dec 2024-31 Dec 2024
5,FA0125001,1,1,QTY,0
5,FA0125001,1,1,RATE,0
5,FA0125001,1,1,UNIT,
2,FA0125001,1,2,,Normal,14076.00,1,1126.08,3102-107
5,FA0125001,1,2,FV,14076.00
5,FA0125001,1,2,PERIOD,1 Dec 2024-31 Dec 2024
5,FA0125001,1,2,QTY,120
5,FA0125001,1,2,RATE,117.3
5,FA0125001,1,2,UNIT,Hour
2,FA0125001,1,3,S,Yeshwant Kumar Jain (Network Engineer),0.00,2,0.00,9999
5,FA0125001,1,3,FV,0.00
5,FA0125001,1,3,PERIOD,1 Dec 2024-31 Dec 2024
5,FA0125001,1,3,QTY,0
5,FA0125001,1,3,RATE,0
5,FA0125001,1,3,UNIT,
2,FA0125001,1,4,,Normal,23547.00,1,1883.76,3102-107
5,FA0125001,1,4,FV,23547.00
5,FA0125001,1,4,PERIOD,1 Dec 2024-31 Dec 2024
5,FA0125001,1,4,QTY,167
5,FA0125001,1,4,RATE,141
5,FA0125001,1,4,UNIT,Hour
2,FA0125001,1,5,S,Donnie Zulkifli Burhan (Business Intelligence Dev),0.00,2,0.00,9999
5,FA0125001,1,5,FV,0.00
5,FA0125001,1,5,PERIOD,1 Dec 2024-31 Dec 2024
5,FA0125001,1,5,QTY,0
5,FA0125001,1,5,RATE,0
5,FA0125001,1,5,UNIT,
2,FA0125001,1,6,,Normal,22579.20,1,1806.34,3102-107
5,FA0125001,1,6,FV,22579.20
5,FA0125001,1,6,PERIOD,1 Dec 2024-31 Dec 2024
5,FA0125001,1,6,QTY,168
5,FA0125001,1,6,RATE,134.4
5,FA0125001,1,6,UNIT,Hour
2,FA0125001,1,7,S,Chankar Chilan A/L Supparmaniam (Desktop Technician - Inte),0.00,2,0.00,9999
5,FA0125001,1,7,FV,0.00
5,FA0125001,1,7,PERIOD,1 Dec 2024-31 Dec 2024
5,FA0125001,1,7,QTY,0
5,FA0125001,1,7,RATE,0
5,FA0125001,1,7,UNIT,
2,FA0125001,1,8,,Normal,9088.00,1,727.04,3102-107
5,FA0125001,1,8,FV,9088.00
5,FA0125001,1,8,PERIOD,1 Dec 2024-31 Dec 2024
5,FA0125001,1,8,QTY,128
5,FA0125001,1,8,RATE,71
5,FA0125001,1,8,UNIT,Hour
2,FA0125001,1,9,S,Wan Muhammad Paizuann Bin Wan Pakias (Server Engineer),0.00,2,0.00,9999
5,FA0125001,1,9,FV,0.00
5,FA0125001,1,9,PERIOD,1 Dec 2024-31 Dec 2024
5,FA0125001,1,9,QTY,0
5,FA0125001,1,9,RATE,0
5,FA0125001,1,9,UNIT,
2,FA0125001,1,10,,Normal,14440.00,1,1155.20,3102-107
5,FA0125001,1,10,FV,14440.00
5,FA0125001,1,10,PERIOD,1 Dec 2024-31 Dec 2024
5,FA0125001,1,10,QTY,152
5,FA0125001,1,10,RATE,95
5,FA0125001,1,10,UNIT,Hour
3,FA0125001,1,1,20250205,90428.62
4,FA0125001,1,BRANCH,
4,FA0125001,1,CONV,1
4,FA0125001,1,FC,MYR
1,AI0225002,2,300034133,20005638,,,1,,25286A2473258,AP-MONTH=02,20250207,2025,02,0,20250309,1,0,SST,1,5422.85,73208.45,
2,AI0225002,2,1,S,Richard Castillo Abenir (IT-Infrastructure - Monit),0.00,2,0.00,9999
5,AI0225002,2,1,FV,0.00
5,AI0225002,2,1,PERIOD,1 Jan 2025-31 Jan 2025
5,AI0225002,2,1,QTY,0
5,AI0225002,2,1,RATE,0
5,AI0225002,2,1,UNIT,
2,AI0225002,2,2,,Normal,6568.80,1,525.50,3102-107
5,AI0225002,2,2,FV,6568.80
5,AI0225002,2,2,PERIOD,1 Jan 2025-31 Jan 2025
5,AI0225002,2,2,QTY,56
5,AI0225002,2,2,RATE,117.3
5,AI0225002,2,2,UNIT,Hour
2,AI0225002,2,3,S,Chankar Chilan A/L Supparmaniam (Desktop Technician - Inte),0.00,2,0.00,9999
5,AI0225002,2,3,FV,0.00
5,AI0225002,2,3,PERIOD,1 Jan 2025-31 Jan 2025
5,AI0225002,2,3,QTY,0
5,AI0225002,2,3,RATE,0
5,AI0225002,2,3,UNIT,
2,AI0225002,2,4,,Normal,8520.00,1,681.60,3102-107
5,AI0225002,2,4,FV,8520.00
5,AI0225002,2,4,PERIOD,1 Jan 2025-31 Jan 2025
5,AI0225002,2,4,QTY,120
5,AI0225002,2,4,RATE,71
5,AI0225002,2,4,UNIT,Hour
2,AI0225002,2,5,S,Wan Muhammad Paizuann Bin Wan Pakias (Server Engineer),0.00,2,0.00,9999
5,AI0225002,2,5,FV,0.00
5,AI0225002,2,5,PERIOD,1 Jan 2025-31 Jan 2025
5,AI0225002,2,5,QTY,0
5,AI0225002,2,5,RATE,0
5,AI0225002,2,5,UNIT,
2,AI0225002,2,6,,Normal,11400.00,1,912.00,3102-107
5,AI0225002,2,6,FV,11400.00
5,AI0225002,2,6,PERIOD,1 Jan 2025-31 Jan 2025
5,AI0225002,2,6,QTY,120
5,AI0225002,2,6,RATE,95
5,AI0225002,2,6,UNIT,Hour
2,AI0225002,2,7,S,Donnie Zulkifli Burhan (Business Intelligence Dev),0.00,2,0.00,9999
5,AI0225002,2,7,FV,0.00
5,AI0225002,2,7,PERIOD,1 Jan 2025-31 Jan 2025
5,AI0225002,2,7,QTY,0
5,AI0225002,2,7,RATE,0
5,AI0225002,2,7,UNIT,
2,AI0225002,2,8,,Normal,20428.80,1,1634.30,3102-107
5,AI0225002,2,8,FV,20428.80
5,AI0225002,2,8,PERIOD,1 Jan 2025-31 Jan 2025
5,AI0225002,2,8,QTY,152
5,AI0225002,2,8,RATE,134.4
5,AI0225002,2,8,UNIT,Hour
2,AI0225002,2,9,S,Yeshwant Kumar Jain (Network Engineer),0.00,2,0.00,9999
5,AI0225002,2,9,FV,0.00
5,AI0225002,2,9,PERIOD,1 Jan 2025-31 Jan 2025
5,AI0225002,2,9,QTY,0
5,AI0225002,2,9,RATE,0
5,AI0225002,2,9,UNIT,
2,AI0225002,2,10,,Normal,20868.00,1,1669.44,3102-107
5,AI0225002,2,10,FV,20868.00
5,AI0225002,2,10,PERIOD,1 Jan 2025-31 Jan 2025
5,AI0225002,2,10,QTY,148
5,AI0225002,2,10,RATE,141
5,AI0225002,2,10,UNIT,Hour
3,AI0225002,2,1,20250309,73208.45
4,AI0225002,2,BRANCH,
4,AI0225002,2,CONV,1
4,AI0225002,2,FC,MYR
1,FA0325005,3,300034133,20005650,,,1,,25308A2473258,AP-MONTH=03,20250307,2025,03,0,20250406,1,0,SST,1,6193.07,83606.47,
2,FA0325005,3,1,S,Chankar Chilan A/L Supparmaniam (Desktop Technician - Inte),0.00,2,0.00,9999
5,FA0325005,3,1,FV,0.00
5,FA0325005,3,1,PERIOD,1 Feb 2025-28 Feb 2025
5,FA0325005,3,1,QTY,0
5,FA0325005,3,1,RATE,0
5,FA0325005,3,1,UNIT,
2,FA0325005,3,2,,Normal,8520.00,1,681.60,3102-107
5,FA0325005,3,2,FV,8520.00
5,FA0325005,3,2,PERIOD,1 Feb 2025-28 Feb 2025
5,FA0325005,3,2,QTY,120
5,FA0325005,3,2,RATE,71
5,FA0325005,3,2,UNIT,Hour
2,FA0325005,3,3,S,Richard Castillo Abenir (IT-Infrastructure - Monit),0.00,2,0.00,9999
5,FA0325005,3,3,FV,0.00
5,FA0325005,3,3,PERIOD,1 Feb 2025-28 Feb 2025
5,FA0325005,3,3,QTY,0
5,FA0325005,3,3,RATE,0
5,FA0325005,3,3,UNIT,
2,FA0325005,3,4,,Normal,20175.60,1,1614.05,3102-107
5,FA0325005,3,4,FV,20175.60
5,FA0325005,3,4,PERIOD,1 Feb 2025-28 Feb 2025
5,FA0325005,3,4,QTY,172
5,FA0325005,3,4,RATE,117.3
5,FA0325005,3,4,UNIT,Hour
2,FA0325005,3,5,S,Wan Muhammad Paizuann Bin Wan Pakias (Server Engineer),0.00,2,0.00,9999
5,FA0325005,3,5,FV,0.00
5,FA0325005,3,5,PERIOD,1 Feb 2025-28 Feb 2025
5,FA0325005,3,5,QTY,0
5,FA0325005,3,5,RATE,0
5,FA0325005,3,5,UNIT,
2,FA0325005,3,6,,Normal,12920.00,1,1033.60,3102-107
5,FA0325005,3,6,FV,12920.00
5,FA0325005,3,6,PERIOD,1 Feb 2025-28 Feb 2025
5,FA0325005,3,6,QTY,136
5,FA0325005,3,6,RATE,95
5,FA0325005,3,6,UNIT,Hour
2,FA0325005,3,7,S,Donnie Zulkifli Burhan (Business Intelligence Dev),0.00,2,0.00,9999
5,FA0325005,3,7,FV,0.00
5,FA0325005,3,7,PERIOD,1 Feb 2025-28 Feb 2025
5,FA0325005,3,7,QTY,0
5,FA0325005,3,7,RATE,0
5,FA0325005,3,7,UNIT,
2,FA0325005,3,8,,Normal,20428.80,1,1634.30,3102-107
5,FA0325005,3,8,FV,20428.80
5,FA0325005,3,8,PERIOD,1 Feb 2025-28 Feb 2025
5,FA0325005,3,8,QTY,152
5,FA0325005,3,8,RATE,134.4
5,FA0325005,3,8,UNIT,Hour
2,FA0325005,3,9,S,Yeshwant Kumar Jain (Network Engineer),0.00,2,0.00,9999
5,FA0325005,3,9,FV,0.00
5,FA0325005,3,9,PERIOD,1 Feb 2025-28 Feb 2025
5,FA0325005,3,9,QTY,0
5,FA0325005,3,9,RATE,0
5,FA0325005,3,9,UNIT,
2,FA0325005,3,10,,Normal,15369.00,1,1229.52,3102-107
5,FA0325005,3,10,FV,15369.00
5,FA0325005,3,10,PERIOD,1 Feb 2025-28 Feb 2025
5,FA0325005,3,10,QTY,109
5,FA0325005,3,10,RATE,141
5,FA0325005,3,10,UNIT,Hour
3,FA0325005,3,1,20250406,83606.47
4,FA0325005,3,BRANCH,
