RECTYPE,BATCHID,BTCHENTRY,SRCELEDGER,SRCETYPE,DATEENTRY,JRNLDESC,FSCSYR,FSCSPERD
RECTYPE,BATCHNBR,JOURNALID,TRANSNBR,ACCTID,TRANSAMT,TRANSREF,TRANSDATE,SRCELDGR,SRCETYPE,COMMENT,TRANSDESC
1,BA0619001,1,GL,JE,20190614,Cost of Sales - Pays,2019,6
2,BA0619001,1,1,4703-203,32000,/TS# /Job#200148519,20190614,GL,JE,/Batch #BA0619001 /TSheet # /PaySlip # /Item: "Miscellaneous","Miscellaneous"
2,BA0619001,1,2,2201,-32000,/TS# /Job#200148519,20190614,GL,JE,/Batch #BA0619001 /TSheet # /PaySlip # /Item: "Miscellaneous","Miscellaneous"
1,BA0619003,2,GL,JE,20190617,Cost of Sales - Pays,2019,6
2,BA0619003,2,1,4102-231,3050,/TS# /Job#200150189,20190617,GL,JE,/Batch #BA0619003 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,BA0619003,2,2,2201,-3050,/TS# /Job#200150189,20190617,GL,JE,/Batch #BA0619003 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,BA0619003,2,3,4102-231,831.84,/TS# /Job#200150189,20190617,GL,JE,/Batch #BA0619003 /TSheet # /PaySlip # /Item: "PH 2.0","PH 2.0"
2,BA0619003,2,4,2201,-831.84,/TS# /Job#200150189,20190617,GL,JE,/Batch #BA0619003 /TSheet # /PaySlip # /Item: "PH 2.0","PH 2.0"
1,BA0619003,3,GL,JE,20190617,Cost of Sales - Pays,2019,6
2,BA0619003,3,1,4103-231,1700,/TS# /Job#200148068,20190617,GL,JE,/Batch #BA0619003 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,BA0619003,3,2,2201,-1700,/TS# /Job#200148068,20190617,GL,JE,/Batch #BA0619003 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,BA0619003,3,3,4103-231,818.16,/TS# /Job#200148068,20190617,GL,JE,/Batch #BA0619003 /TSheet # /PaySlip # /Item: "PH 2.0","PH 2.0"
2,BA0619003,3,4,2201,-818.16,/TS# /Job#200148068,20190617,GL,JE,/Batch #BA0619003 /TSheet # /PaySlip # /Item: "PH 2.0","PH 2.0"
2,BA0619003,3,5,4103-231,306.81,/TS# /Job#200148068,20190617,GL,JE,/Batch #BA0619003 /TSheet # /PaySlip # /Item: "RD 2.0","RD 2.0"
2,BA0619003,3,6,2201,-306.81,/TS# /Job#200148068,20190617,GL,JE,/Batch #BA0619003 /TSheet # /PaySlip # /Item: "RD 2.0","RD 2.0"
2,BA0619003,3,7,4103-231,536.97,/TS# /Job#200148068,20190617,GL,JE,/Batch #BA0619003 /TSheet # /PaySlip # /Item: "OT 1.5","OT 1.5"
2,BA0619003,3,8,2201,-536.97,/TS# /Job#200148068,20190617,GL,JE,/Batch #BA0619003 /TSheet # /PaySlip # /Item: "OT 1.5","OT 1.5"
2,BA0619003,3,9,4113-231,286.96,/TS# /Job#200148068,20190617,GL,JE,/Batch #BA0619003 /TSheet # /PaySlip # /Item: "Night Shift Allowance","Night Shift Allowance"
2,BA0619003,3,10,2201,-286.96,/TS# /Job#200148068,20190617,GL,JE,/Batch #BA0619003 /TSheet # /PaySlip # /Item: "Night Shift Allowance","Night Shift Allowance"
1,BA0619003,4,GL,JE,20190617,Cost of Sales - Pays,2019,6
2,BA0619003,4,1,4102-231,3270,/TS# /Job#200156183,20190617,GL,JE,/Batch #BA0619003 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,BA0619003,4,2,2201,-3270,/TS# /Job#200156183,20190617,GL,JE,/Batch #BA0619003 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,BA0619003,4,3,4102-231,891.84,/TS# /Job#200156183,20190617,GL,JE,/Batch #BA0619003 /TSheet # /PaySlip # /Item: "PH 2.0","PH 2.0"
2,BA0619003,4,4,2201,-891.84,/TS# /Job#200156183,20190617,GL,JE,/Batch #BA0619003 /TSheet # /PaySlip # /Item: "PH 2.0","PH 2.0"
2,BA0619003,4,5,4102-231,408.76,/TS# /Job#200156183,20190617,GL,JE,/Batch #BA0619003 /TSheet # /PaySlip # /Item: "RD 2.0","RD 2.0"
2,BA0619003,4,6,2201,-408.76,/TS# /Job#200156183,20190617,GL,JE,/Batch #BA0619003 /TSheet # /PaySlip # /Item: "RD 2.0","RD 2.0"
2,BA0619003,4,7,4112-231,208.7,/TS# /Job#200156183,20190617,GL,JE,/Batch #BA0619003 /TSheet # /PaySlip # /Item: "Night Shift Allowance","Night Shift Allowance"
2,BA0619003,4,8,2201,-208.7,/TS# /Job#200156183,20190617,GL,JE,/Batch #BA0619003 /TSheet # /PaySlip # /Item: "Night Shift Allowance","Night Shift Allowance"
1,BA0619003,5,GL,JE,20190617,Cost of Sales - Pays,2019,6
2,BA0619003,5,1,4103-231,1700,/TS# /Job#200148069,20190617,GL,JE,/Batch #BA0619003 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,BA0619003,5,2,2201,-1700,/TS# /Job#200148069,20190617,GL,JE,/Batch #BA0619003 /TSheet # /PaySlip # /Item: "Normal","Normal"
