RECTYPE,BATCHID,BTCHENTRY,SRCELEDGER,SRCETYPE,DATEENTRY,JRNLDESC,FSCSYR,FSCSPERD
RECTYPE,BATCHNBR,JOURNALID,TRANSNBR,ACCTID,TRANSAMT,TRANSREF,TRANSDATE,SRCELDGR,SRCETYPE,COMMENT,TRANSDESC
1,NU0219005,1,GL,JE,20190228,Cost of Sales - Pays,2019,2
2,NU0219005,1,1,4102-321,2500,/TS# /Job#200154359,20190228,GL,JE,/Batch #NU0219005 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,NU0219005,1,2,2201,-2500,/TS# /Job#200154359,20190228,GL,JE,/Batch #NU0219005 /TSheet # /PaySlip # /Item: "Normal","Normal"
1,NU0219005,2,GL,JE,20190228,Cost of Sales - Pays,2019,2
2,NU0219005,2,1,4102-321,2500,/TS# /Job#200153823,20190228,GL,JE,/Batch #NU0219005 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,NU0219005,2,2,2201,-2500,/TS# /Job#200153823,20190228,GL,JE,/Batch #NU0219005 /TSheet # /PaySlip # /Item: "Normal","Normal"
1,NU0219005,3,GL,JE,20190228,Cost of Sales - Pays,2019,2
2,NU0219005,3,1,4102-321,2500,/TS# /Job#200153825,20190228,GL,JE,/Batch #NU0219005 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,NU0219005,3,2,2201,-2500,/TS# /Job#200153825,20190228,GL,JE,/Batch #NU0219005 /TSheet # /PaySlip # /Item: "Normal","Normal"
1,NU0219005,4,GL,JE,20190228,Cost of Sales - Pays,2019,2
2,NU0219005,4,1,4102-321,2500,/TS# /Job#200153822,20190228,GL,JE,/Batch #NU0219005 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,NU0219005,4,2,2201,-2500,/TS# /Job#200153822,20190228,GL,JE,/Batch #NU0219005 /TSheet # /PaySlip # /Item: "Normal","Normal"
1,NU0219005,5,GL,JE,20190228,Cost of Sales - Pays,2019,2
2,NU0219005,5,1,4102-321,2000,/TS# /Job#200153684,20190228,GL,JE,/Batch #NU0219005 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,NU0219005,5,2,2201,-2000,/TS# /Job#200153684,20190228,GL,JE,/Batch #NU0219005 /TSheet # /PaySlip # /Item: "Normal","Normal"
1,NU0219005,6,GL,JE,20190228,Cost of Sales - Pays,2019,2
2,NU0219005,6,1,4102-321,2500,/TS# /Job#200153824,20190228,GL,JE,/Batch #NU0219005 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,NU0219005,6,2,2201,-2500,/TS# /Job#200153824,20190228,GL,JE,/Batch #NU0219005 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,NU0219005,6,3,4102-321,-161.3,/TS# /Job#200153824,20190228,GL,JE,/Batch #NU0219005 /TSheet # /PaySlip # /Item: "Unpaid Leave","Unpaid Leave"
2,NU0219005,6,4,2201, 161.3,/TS# /Job#200153824,20190228,GL,JE,/Batch #NU0219005 /TSheet # /PaySlip # /Item: "Unpaid Leave","Unpaid Leave"
1,NU0219006,7,GL,JE,20190215,Cost of Sales - Pays,2019,2
2,NU0219006,7,1,4102-321,1064.52,/TS# /Job#200154773,20190215,GL,JE,/Batch #NU0219006 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,NU0219006,7,2,2201,-1064.52,/TS# /Job#200154773,20190215,GL,JE,/Batch #NU0219006 /TSheet # /PaySlip # /Item: "Normal","Normal"
1,NU0219007,8,GL,JE,20190215,Cost of Sales - Pays,2019,2
2,NU0219007,8,1,4101-321,360,/TS# /Job#200142171,20190215,GL,JE,/Batch #NU0219007 /TSheet # /PaySlip # /Item: "Normal","Normal"
