empno, EPFWW , EPFCC ,EPFWW2
100124532,-82,111,82
100129343,-60,111,60
100069473,-60,111,60
100129315,-60,111,60
100129317,-60,111,60
100129319,-60,111,60
100129320,-60,111,60
100129338,-60,111,60
100129340,-60,111,60
100129344,-60,111,60
100129345,-60,111,60
100129346,-60,111,60
100129347,-60,111,60
100129348,-60,111,60
100129023,-112,210,112
100129024,-112,210,112
100129025,-112,210,112
100084359,-112,210,112
100129028,-112,210,112
100129029,-112,210,112
100129031,-112,210,112
100129032,-112,210,112
100129033,-112,210,112
100129035,-112,210,112
100127644,-216,405,216
100127645,-216,405,216
100127048,-216,405,216
100127643,-216,405,216
100127646,-216,405,216
100127647,-216,405,216
100127771,-216,405,216
100127780,-216,405,216
100127781,-216,405,216
100127782,-216,405,216
100127783,-216,405,216
100127784,-216,405,216
100127785,-216,405,216
100127786,-216,405,216
