empno,gross
100000825,1120
100002706,19161.29
100007628,4070
100015243,2259
100020948,3582
100021405,1483.91
100023637,935.48
100024912,3153
100025598,2009.75
100027553,4790.24
100027954,1880.34
100030769,5168.08
100031141,5510.69
100031512,3999.78
100031857,5135
100032657,3554.84
100033018,3539.44
100033055,6502.16
100034565,4663.04
100035745,5204.96
100036362,6380
100036755,2858.07
100038162,6000
100038999,2467.04
100039089,3675
100039418,3494.18
100040033,3293.58
100040229,4348.36
100042252,5116.9
100042552,3785.06
100043352,40975.15
100044309,4336.74
100045447,2990.57
100045589,2556.16
100045720,9558.16
100045800,595
100045916,2161.5
100047509,4145.52
100047636,5058.8
100047981,4980
100048510,2383.1
100049244,4500.6
100049612,2827.88
100050878,4071.73
100050941,2200
100051213,4897.96
100051215,6967.52
100051498,4117.56
100051672,8610.23
100051828,3804.68
100052578,3451.35
100053699,640
100053758,3602.6
100053760,3832.92
100054060,4738.76
100055404,4369.16
100055934,5000
100056022,4596.23
100056825,3650
100056955,9029.04
100057028,4596.72
100057112,3986.91
100057642,6197.2
100058130,7197.2
100059479,640
100060996,160
100061239,5556.33
100062242,1799.98
100062376,4000
100063112,4430.56
100063234,2500
100063590,5159.4
100063787,2204.13
100063797,3847.04
100064036,4217.24
100064531,5531.42
100064896,3263.36
100065864,3062.76
100065957,2151.2
100066776,2363.06
100067234,3994.79
100067544,3237.58
100067588,1420
100069427,6890.47
100069473,722.58
100070626,3029.21
100071076,2678.55
100071156,3524.41
100071811,2744.28
100072260,0
100072851,4000
100073827,4707.81
100074298,2967.97
100076128,2579
100076775,3741.44
100077772,3780
100078507,6078.53
100079037,4679.97
100079225,2736
100082470,3707.76
100082492,4458.92
100082640,4171.52
100083393,3528.6
100084175,3010.16
100084359,1400
100084530,3925.09
100086541,3218.4
100086647,1900
100087108,2834.38
100087662,4286
100087699,2085.91
100089442,4834.25
100089694,4745.52
100090787,4460.2
100091067,7673.87
100091278,4647
100091435,1731.8
100091516,4781.65
100091521,6917.4
100091543,5400
100091754,3639.23
100092619,2400
100092810,245.4
100093846,130
100094105,2875.12
100094638,3537.64
100094730,3756.23
100095121,4425.04
100095900,3278.5
100095996,2401.52
100096072,3938
100096471,4300
100097178,4080
100097508,4344.18
100097510,5080.2
100097512,4578
100097829,2084.58
100097961,2149.92
100098265,2819.21
100098689,1634.67
100098823,3945.76
100098861,3902.24
100099901,1935.6
100100470,3813.96
100100711,6017.87
100100714,4576.8
100100872,4500
100101030,2564.2
100101069,3376.12
100101328,3730.92
100101511,2513.39
100102355,8239
100102596,1560.32
100102604,2716.51
100102622,5458
100102624,6271.8
100103346,4369
100103478,2605.87
100103723,3500
100103813,2402.63
100104633,4400
100104860,2852.06
100105028,4463
100105113,5710
100105114,6616
100105121,5221.96
100105125,6272.41
100105127,4611
100105128,4463
100105131,4620
100105138,5959.8
100105139,4487.54
100105305,4494.08
100105419,4710
100105424,4841
100105436,4383.1
100105451,4545
100105454,4620
100105456,4487
100105654,5300
100105894,4568.53
100106149,3798.96
100106310,2152.39
100106393,3963.78
100106453,3747.85
100106475,3726
100106551,2230
100106845,3603.44
100107311,6783
100107396,4362.5
100107450,3038.08
100107493,3889.33
100107507,3333.2
100107749,2161.21
100107897,4108.35
100107933,4364.13
100108301,4800
100108818,4258
100109175,80
100109332,2185.92
100109417,3495.16
100109690,3799.34
100110050,3550
100110110,2888.84
100110280,2983.3
100110627,2914.29
100110865,4754
100110869,3150
100111396,370
100112372,3080
100113034,2307.8
100113400,2317.8
100113562,8420
100114027,3981.46
100114105,3500
100114218,2887.5
100114323,5919.4
100114582,3703.85
100114583,2516.19
100114614,2215.56
100114720,2504.88
100115626,6049.81
100115629,4061.12
100115631,2228.43
100115648,3750.48
100115672,10401.19
100115683,3785
100115848,-343.71
100116248,2438.39
100116330,2589.72
100116494,2614.2
100116596,5939.63
100116692,4985
100116920,5594.12
100116925,6073
100116939,2524.5
100117075,29283.32
100117131,2495.66
100117198,2874
100117366,2334.07
100117372,2367.37
100117418,3800
100117454,2732.05
100117457,4500
100117944,0
100118099,2376.39
100118128,322.58
100118382,3883.33
100118511,4215.8
100118625,3438.24
100118671,5006.97
100118691,1453.22
100118749,3700
100118767,619.35
100118899,108.64
100119157,6194.84
100119215,8300
100119224,5876.36
100119232,1964.6
100119327,10936.38
100119380,1267.75
100119387,8609.31
100119388,3110.46
100119441,2424.56
100119448,4500
100119459,2954.88
100119792,1590
100119831,9450
100119836,8752.42
100119873,2754.25
100119987,2175.31
100120023,1667.29
100120065,4395.26
100120068,4220
