empno,value
100125453,-331
100039089,-479
100050941,-286
100124532,14
100129343,14
100069473,14
100129315,14
100129317,14
100129319,14
100129320,14
100129338,14
100129340,14
100129344,14
100129345,14
100129346,14
100129347,14
100129348,14
100129023,28
100129024,28
100129025,28
100084359,28
100129028,28
100129029,28
100129031,28
100129032,28
100129033,28
100129035,28
100127644,54
100127645,54
100127048,54
100127643,54
100127646,54
100127647,54
100127771,54
100127780,54
100127781,54
100127782,54
100127783,54
100127784,54
100127785,54
100127786,54
100127541,93
100127082,-91
100043352,-4918
100124502,94
100126745,-273
100129163,-172
100117418,-494
100120720,-162
100124084,-159
100120779,-128
100125758,-63
100127632,-26
100123401,-21
100129447,-11
100124233,-6
100126730,-101
100127996,-46
100125973,-31
100127144,-15
100125352,-18
100125883,-1908
100128614,-1836
100124543,-1164
100128957,-756
100126934,-650
100102355,-996
100117457,-585
100114218,-377
100113562,-1020
100117001,-840
100119448,-585
100119987,-221
100123644,105
100067588,-185
100126959,-232
100002706,-1536
100127076,-320
100122234,80
100128466,-696
100128467,-650
100128327,-572
100128677,-468
100070626,-377
100128325,-338
100128678,-325
100128482,-312
100128311,-286
100128658,-286
100128662,-286
100128356,-286
100128483,-273
100128343,-273
100128661,-260
100126823,-247
100128663,-247
100127788,-247
100127899,-242
100127775,-234
100128052,-229
100128032,-227
100128150,-216
100129268,-133
100118767,-81
100116939,-331
100128215,-286
100128216,-286
100086647,-247
100114582,-245
100114583,-177
100098265,-177
100110280,-175
100120718,-172
100104860,-169
100114720,-159
100038999,-159
100120201,-159
100117366,-159
100117454,-159
100122277,-156
100117372,-156
100124136,-156
100120204,-154
100122817,-154
100118099,-154
100128364,-151
100125088,-151
100116494,-151
100121975,-149
100127292,-149
100124710,-149
100127135,-149
100127282,-149
100127283,-149
100124616,-149
100128277,-149
100127414,-149
100128362,-149
100126204,-149
100128205,-149
100126205,-149
100127757,-149
100127756,-149
100126631,-149
100126630,-149
100127136,-146
100127137,-146
100125326,-146
100126625,-146
100127674,-146
100126426,-146
100129199,-146
100129197,-146
100127388,-146
100126433,-146
100127926,-143
100120202,-143
100128650,-138
100128275,-133
100127298,-130
100128034,-140
100128508,-140
100124615,-130
100121687,231
100129306,-13
100127279,-229
100127047,-221
100125874,-216
100128478,-188
100126206,-455
100122627,-416
100097829,-169
100124746,-143
100128584,-143
100128585,-133
100125941,-156
100129180,-351
100129207,-390
100128412,-84
100128413,-86
100128418,-164
100128410,-232
100128417,-237
100128414,-242
100128416,-253
100128411,-253
100128415,-307
100128324,-325
100121939,-325
100123093,-208
100125260,-307
100126552,-52
100036755,-362
100127871,-219
100127869,-156
100125751,-32
100127361,-351
100104633,-286
100126996,-271
100097178,-266
100120171,-263
100063234,-325
100126935,-247
100128049,-156
100127559,-128
100128075,-123
100127603,-123
100127342,-121
100128170,-118
100127359,-113
100127882,-99
100128157,-95
100128123,-91
100128061,-86
100128113,-63
100129307,-52
100129184,-48
100129308,-45
100129378,-29
100118899,-16
100129305,-13
100129402,-13
100129167,-13
100129168,-13
100128314,-8
100128079,-8
100129401,-8
100129302,-8
100129399,-8
100129400,-6
100129171,-6
100051672,-526
100127623,-141
100127651,-167
100125281,-260
100127793,-305
100126697,-167
100124733,-281
100123217,-39
100126682,-188
100126668,-242
100078507,-672
100047981,-648
100126753,-557
100077772,-492
100020948,-468
100052578,-450
100127191,-390
100073827,-390
100091516,-390
100117198,-375
100063590,-359
100103478,-341
100087108,-341
100076128,-336
100094105,-328
100076775,-318
100045589,-312
100071076,-307
100106475,-302
100089442,-297
100015243,-294
100082492,-294
100106551,-292
100128317,-286
100106453,-286
100089694,-283
100106310,-281
100079225,-281
100107507,-279
100066776,-276
100063787,-268
100106845,-260
100124579,-216
100121327,-216
100099901,-214
100065957,-214
100128319,-208
100127132,-208
100102596,-206
100065864,-203
100123846,-190
100128492,-169
100048510,-167
100127998,-133
100125429,-125
100127131,-99
100129379,-121
100064531,-408
100044309,-405
100047636,-405
100122779,-358
100095121,-335
100061239,-319
100107749,-205
100091435,-143
100128139,-127
100128491,-125
100082640,-346
100055404,-341
100049244,-333
100091521,-328
100042552,-307
100050878,-307
100040033,-271
100128565,-203
100084175,-182
100123119,-148
100027954,-136
100049612,-136
100071811,-133
100057028,-391
100057112,-372
100116596,-370
100042252,-359
100024912,-339
100082470,-336
100096072,-333
100047509,-323
100064896,-320
100063112,-317
100098861,-310
100123993,-307
100086541,-304
100084530,-302
100101511,-294
100064036,-291
100045447,-289
100122982,-284
100074298,-281
100083393,-273
100107493,-255
100119388,-240
100063797,-239
100122917,-224
100119441,-174
100128499,-161
100113400,-156
100123120,-154
100045916,-153
100113034,-153
100114614,-151
100120188,-148
100119232,-140
100033055,-445
100035745,-422
100051215,-412
100051213,-396
100034565,-385
100031141,-370
100087662,-334
100123992,-313
100098823,-292
100118511,-272
100027553,-259
100120925,-251
100125400,-235
100051828,-175
100110110,-170
100109332,-147
100122531,-328
100079037,-317
100106393,-289
100106149,-278
100051498,-278
100094730,-239
100118625,-232
100109690,-226
100105305,-226
100062242,-117
100033018,-333
100054060,-330
100094638,-291
100101328,-291
100091278,-291
100100470,-278
100103813,-242
100030769,-331
100071156,-273
100101069,-276
100128498,-288
100040229,-268
100119459,-214
100031857,-583
100053758,-88
100053760,-91
100107897,-123
100091067,378
100069427,-234
100058130,-257
100056955,-275
100116248,-7
100067234,-115
100122622,-151
100119157,-182
100119224,-172
100107450,115
100056022,-186
100110627,117
100057642,-217
100121143,-135
100120150,-432
100119873,-302
100120969,-286
100128564,-185
